society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
paras dews,flat,sector 106,1.2,11605.0,3,3,3,12.0,Relatively New,1145.0,1,0,0,0,0,0,158
railway officers rpf society,flat,sector 9a,1.25,6921.0,4,3,3,1.0,Old Property,1994.7770446900001,0,1,0,0,0,0,40
umang winter hills,flat,sector 77,0.86,6408.0,2,2,2,16.0,New Property,1186.3240446500001,0,0,0,0,0,1,79
godrej nature plus,flat,sector 33 road,1.35,8670.0,3,2,3+,17.0,New Property,1378.93176025,0,0,0,0,0,0,38
dlf the ultima,flat,sector 81,2.21,10365.0,3,3,3+,3.0,Relatively New,1866.28307513,0,1,0,0,0,2,149
signature global park,flat,sohna road road,0.54,7248.0,2,1,3,1.0,New Property,932.0337898600001,0,0,0,0,0,0,65
tulip leaf,flat,sector 69,2.06,11386.0,3,3,3,16.0,Relatively New,1607.3734694500001,0,0,0,0,0,0,49
sare crescent parc,flat,sector 92,0.95,5013.0,4,5,3+,13.0,Relatively New,1895.0,0,0,0,0,0,0,0
godrej oasis,flat,sector 88a,1.4,7567.0,3,3,3+,4.0,Relatively New,1641.4157633700001,0,0,0,0,0,1,38
microtek greenburg,flat,sector 86,1.93,8446.0,3,4,3,12.0,Relatively New,2031.11044377,0,1,0,0,0,0,72
emaar imperial gardens,flat,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively New,2189.09579251,0,1,0,0,0,1,72
ansal api spanish court,house,sector 2,2.9,18626.0,4,4,3,2.0,Relatively New,1557.0,0,0,1,0,0,1,49
indiabulls enigma,flat,sector 110,3.25,9558.0,4,4,3,11.0,Relatively New,3029.98301537,0,1,0,0,1,0,125
sare crescent parc,flat,sector 92,0.8,4210.0,4,3,2,10.0,Relatively New,1686.2082553700002,0,0,0,0,1,0,37
bestech altura,flat,sector 79,1.72,8000.0,3,4,3+,5.0,Relatively New,1699.0581934400002,0,1,0,0,0,0,174
supertech hues,flat,sector 68,0.82,6950.0,2,2,3+,21.0,Under Construction,1041.19637057,0,0,0,0,1,0,72
independent,house,sector 25,6.5,36111.0,4,3,3,3.0,Moderately Old,1800.0,1,0,0,0,0,0,19
lavanya apartments,flat,sector 81,0.9,5056.0,3,3,0,7.0,Relatively New,1780.0,0,0,0,0,0,0,0
shree vardhman flora,flat,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,1731.00074737,0,1,0,0,0,0,165
unitech espace,house,sector 50,11.29,34846.0,5,5,3+,2.0,Moderately Old,3240.0,1,0,0,0,0,0,21
godrej,flat,sector 79,1.47,16256.0,2,2,3,9.0,New Property,269.95776346030004,1,0,0,0,0,0,99
unitech espace,house,sector 50,7.45,34491.0,4,4,3,3.0,Old Property,4500.0,0,1,0,0,0,1,59
bptp visionnaire,house,sector 70a,4.02,7309.0,4,4,3+,3.0,Relatively New,5500.0,1,1,1,0,0,0,138
gls avenue 51,flat,sector 92,0.45,7614.0,2,2,1,10.0,New Property,646.0,1,0,0,0,0,1,20
aipl zen residences,flat,sector 70a,1.65,13074.0,2,2,3,23.0,New Property,1114.6560574500002,0,0,0,0,0,0,81
independent,house,sector 2,6.0,20000.0,4,4,1,2.0,Relatively New,3000.0,0,0,0,0,0,0,0
vipul world,flat,sector 48,1.38,9482.0,3,3,1,2.0,Relatively New,1638.19212601,0,0,0,0,0,0,60
signature global grand iva,flat,sector 103,0.23,6527.0,1,1,1,4.0,Relatively New,546.40122331,0,0,0,0,0,0,23
dlf new town heights,flat,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2726.0,0,1,0,0,0,0,145
bestech park view residency,flat,sector 2,1.51,7890.0,3,4,3+,8.0,Moderately Old,1704.12525217,0,1,0,0,0,0,92
project mianwali colony,house,sector 12,1.7,9444.0,1,1,2,1.0,Old Property,1988.76718651,0,0,0,0,0,0,0
the close north,flat,sector 50,2.35,11358.0,3,3,3,8.0,Moderately Old,1900.0,0,0,0,0,0,1,49
supertech araville,flat,sector 79,0.71,6061.0,2,2,3+,17.0,New Property,1291.0413110900001,0,0,0,0,1,0,53
la vida by tata housing,flat,sector 113,2.35,10599.0,3,3,3,11.0,New Property,2210.0,0,1,0,0,0,0,174
sare green parc phase 3,flat,sector 92,0.75,7142.0,3,2,2,3.0,New Property,1298.0,0,0,0,0,0,0,121
independent,house,sohna road road,1.55,14720.0,2,3,2,1.0,New Property,1053.0,1,0,0,0,0,1,49
sare homes,flat,sector 92,0.95,4250.0,4,3,2,16.0,New Property,1983.0,0,0,0,0,0,0,95
assotech blith,flat,sector 99,1.6,6667.0,3,4,0,15.0,New Property,2400.0,0,0,0,0,0,0,51
