society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
paras dews,flat,sector 106,1.2,11605.0,1034.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,3,3,12.0,North-West,Relatively New,1665.0,1145.0,1034.0,1,0,0,0,0,0,158
railway officers rpf society,flat,sector 9a,1.25,6921.0,1806.0,Carpet area: 1806 (167.78 sq.m.),4,3,3,1.0,,Old Property,,,1806.0,0,1,0,0,0,0,40
umang winter hills,flat,sector 77,0.86,6408.0,1342.0,Super Built up area 1342(124.68 sq.m.),2,2,2,16.0,,New Property,1342.0,,,0,0,0,0,0,1,79
godrej nature plus,flat,sector 33 road,1.35,8670.0,1557.0,Super Built up area 1557(144.65 sq.m.),3,2,3+,17.0,,New Property,1557.0,,,0,0,0,0,0,0,38
dlf the ultima,flat,sector 81,2.21,10365.0,2132.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3+,3.0,South,Relatively New,2132.0,,1650.0,0,1,0,0,0,2,149
signature global park,flat,sohna road road,0.54,7248.0,745.0,Carpet area: 745 (69.21 sq.m.),2,1,3,1.0,,New Property,,,745.0,0,0,0,0,0,0,65
tulip leaf,flat,sector 69,2.06,11386.0,1809.0,Super Built up area 1812(168.34 sq.m.),3,3,3,16.0,South-West,Relatively New,1812.0,,,0,0,0,0,0,0,49
sare crescent parc,flat,sector 92,0.95,5013.0,1895.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,5,3+,13.0,North,Undefined,,1895.0,1500.0,0,0,0,0,0,0,0
godrej oasis,flat,sector 88a,1.4,7567.0,1850.0,Super Built up area 1850(171.87 sq.m.),3,3,3+,4.0,East,Relatively New,1850.0,,,0,0,0,0,0,1,38
microtek greenburg,flat,sector 86,1.93,8446.0,2285.0,Super Built up area 2285(212.28 sq.m.),3,4,3,12.0,East,Relatively New,2285.0,,,0,1,0,0,0,0,72
emaar imperial gardens,flat,sector 102,1.98,9900.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,3,3+,9.0,North,Relatively New,,,2000.0,0,1,0,0,0,1,72
ansal api spanish court,house,sector 2,2.9,18626.0,1557.0,Plot area 173(144.65 sq.m.)Built Up area: 1415 sq.yards (1183.12 sq.m.)Carpet area: 1350 sq.yards (1128.77 sq.m.),4,4,3,2.0,North,Relatively New,,1415.0,1350.0,0,0,1,0,0,1,49
indiabulls enigma,flat,sector 110,3.25,9558.0,3400.0,Super Built up area 3400(315.87 sq.m.),4,4,3,11.0,South,Relatively New,3400.0,,,0,1,0,0,1,0,125
sare crescent parc,flat,sector 92,0.8,4210.0,1900.0,Super Built up area 1900(176.52 sq.m.),4,3,2,10.0,East,Relatively New,1900.0,,,0,0,0,0,1,0,37
bestech altura,flat,sector 79,1.72,8000.0,2150.0,Super Built up area 2150(199.74 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3+,5.0,North-East,Relatively New,2150.0,,1300.0,0,1,0,0,0,0,174
supertech hues,flat,sector 68,0.82,6950.0,1180.0,Super Built up area 1180(109.63 sq.m.),2,2,3+,21.0,,Under Construction,1180.0,,,0,0,0,0,1,0,72
independent,house,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,0,0,0,19
lavanya apartments,flat,sector 81,0.9,5056.0,1780.0,Built Up area: 1780 (165.37 sq.m.),3,3,0,7.0,,Undefined,,1780.0,,0,0,0,0,0,0,0
shree vardhman flora,flat,sector 90,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,4.0,South-West,Relatively New,1950.0,,,0,1,0,0,0,0,165
unitech espace,house,sector 50,11.29,34846.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,2.0,,Moderately Old,,3240.0,,1,0,0,0,0,0,21
godrej,flat,sector 79,1.47,16256.0,904.0,Carpet area: 84.01,2,2,3,9.0,North-East,New Property,,,84.01,1,0,0,0,0,0,99
unitech espace,house,sector 50,7.45,34491.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,3,3.0,,Old Property,,4500.0,4000.0,0,1,0,0,0,1,59
bptp visionnaire,house,sector 70a,4.02,7309.0,5500.0,Built Up area: 5500 (510.97 sq.m.),4,4,3+,3.0,North-East,Relatively New,,5500.0,,1,1,1,0,0,0,138
gls avenue 51,flat,sector 92,0.45,7614.0,591.0,Built Up area: 646 (60.02 sq.m.)Carpet area: 591 sq.ft. (54.91 sq.m.),2,2,1,10.0,,New Property,,646.0,591.0,1,0,0,0,0,1,20
aipl zen residences,flat,sector 70a,1.65,13074.0,1262.0,Super Built up area 1262(117.24 sq.m.),2,2,3,23.0,North-West,New Property,1262.0,,,0,0,0,0,0,0,81
independent,house,sector 2,6.0,20000.0,3000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,,Relatively New,,333.0,,0,0,0,0,0,0,0
vipul world,flat,sector 48,1.38,9482.0,1455.0,Carpet area: 1450 (134.71 sq.m.),3,3,1,2.0,,Relatively New,,,1450.0,0,0,0,0,0,0,60
signature global grand iva,flat,sector 103,0.23,6527.0,352.0,Carpet area: 360 (33.45 sq.m.),1,1,1,4.0,North-East,Relatively New,,,360.0,0,0,0,0,0,0,23
dlf new town heights,flat,sector 90,1.88,6894.0,2727.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2726 sq.ft. (253.25 sq.m.)Carpet area: 2725 sq.ft. (253.16 sq.m.),4,4,3+,20.0,South,Relatively New,2727.0,2726.0,2725.0,0,1,0,0,0,0,145
bestech park view residency,flat,sector 2,1.51,7890.0,1914.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,8.0,West,Moderately Old,1920.0,,,0,1,0,0,0,0,92
project mianwali colony,house,sector 12,1.7,9444.0,1800.0,Carpet area: 1800 (167.23 sq.m.),1,1,2,1.0,,Undefined,,,1800.0,0,0,0,0,0,0,0
the close north,flat,sector 50,2.35,11358.0,2069.0,Super Built up area 2069(192.22 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,8.0,North-West,Moderately Old,2069.0,1900.0,1800.0,0,0,0,0,0,1,49
supertech araville,flat,sector 79,0.71,6061.0,1171.0,Super Built up area 1295(120.31 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3+,17.0,North,New Property,1295.0,,1250.0,0,0,0,0,1,0,53
la vida by tata housing,flat,sector 113,2.35,10599.0,2217.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 2210 sq.ft. (205.32 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),3,3,3,11.0,North-East,New Property,2217.0,2210.0,1720.0,0,1,0,0,0,0,174
sare green parc phase 3,flat,sector 92,0.75,7142.0,1050.0,Super Built up area 1326(123.19 sq.m.)Built Up area: 1298 sq.ft. (120.59 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,2,2,3.0,East,New Property,1326.0,1298.0,1050.0,0,0,0,0,0,0,121
independent,house,sohna road road,1.55,14720.0,1053.0,Plot area 117(97.83 sq.m.),2,3,2,1.0,North,New Property,,1053.0,,1,0,0,0,0,1,49
sare homes,flat,sector 92,0.95,4250.0,2235.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1983 sq.ft. (184.23 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),4,3,2,16.0,East,New Property,2000.0,1983.0,1900.0,0,0,0,0,0,0,95
assotech blith,flat,sector 99,1.6,6667.0,2400.0,Built Up area: 2400 (222.97 sq.m.),3,4,0,15.0,,Undefined,,2400.0,,0,0,0,0,0,0,51
independent,house,sector 9,0.6,10753.0,558.0,Plot area 62(51.84 sq.m.),2,2,1,1.0,North-East,Moderately Old,,558.0,,0,0,0,0,0,0,8
godrej aria,flat,sector 79,0.95,6551.0,1450.0,Carpet area: 1450 (134.71 sq.m.),2,2,3,5.0,East,Relatively New,,,1450.0,0,0,0,0,0,1,174
tulip violet,flat,sector 69,1.4,8928.0,1568.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,North,Relatively New,1568.0,,,0,0,0,0,0,0,157
ss the leaf,flat,sector 85,1.12,6453.0,1736.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1485 sq.ft. (137.96 sq.m.)Carpet area: 1335 sq.ft. (124.03 sq.m.),2,2,3,10.0,East,Relatively New,1741.0,1485.0,1335.0,0,0,0,0,1,0,49
dlf regal gardens,flat,sector 90,1.78,8036.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3+,8.0,South,Relatively New,2215.0,2000.0,1650.0,0,0,0,0,0,0,126
afnhb jalvayu vihar,flat,sector 30,0.85,12859.0,661.0,Carpet area: 661 (61.41 sq.m.),2,2,1,2.0,West,Old Property,,,661.0,0,0,0,0,1,1,49
signature andour heights,flat,sector 71,0.37,7400.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 425 sq.ft. (39.48 sq.m.)Carpet area: 366.48 sq.ft. (34.05 sq.m.),1,1,2,2.0,North-East,Relatively New,500.0,425.0,366.48,0,0,0,0,0,1,37
signature global park,flat,sohna road road,0.67,5537.0,1210.0,Super Built up area 1210(112.41 sq.m.),2,2,3,4.0,North-East,Relatively New,1210.0,,,0,0,0,0,0,0,127
birla navya,house,sector 63a,3.85,15437.0,2494.0,Carpet area: 2494 (231.7 sq.m.),3,3,3+,4.0,,New Property,,,2494.0,0,1,0,0,0,1,160
dlf new town heights,flat,sector 91,2.0,6967.0,2871.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,16.0,East,Moderately Old,2727.0,,,1,1,0,0,0,0,65
smart world gems,flat,sector 89,0.88,7978.0,1103.0,Built Up area: 1103 (102.47 sq.m.),2,2,0,2.0,,Undefined,,1103.0,,0,0,0,0,0,0,45
birla navya,flat,sector 63a,3.7,15416.0,2400.0,Carpet area: 2400 (222.97 sq.m.),3,3,3+,1.0,North,Under Construction,,,2400.0,0,0,0,0,0,0,72
gls avenue 51,flat,sector 92,0.42,7106.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,4.0,East,Relatively New,,,591.0,1,0,0,0,0,1,42
smart world gems,flat,sector 89,0.97,8794.0,1103.0,Built Up area: 1103 (102.47 sq.m.),2,2,3+,2.0,East,New Property,,1103.0,,0,0,0,0,0,0,49
independent,house,sector 25,4.45,32963.0,1350.0,Plot area 150(125.42 sq.m.),4,3,3+,2.0,West,Moderately Old,,1350.0,,0,0,1,0,0,0,79
bestech park view ananda,flat,sector 81,1.35,7541.0,1790.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,3,3+,10.0,North-East,Moderately Old,1790.0,,1130.0,0,0,1,0,0,1,72
independent,house,manesar,2.0,14954.0,1337.0,Plot area 1337.4(124.25 sq.m.),3,1,0,3.0,North,Moderately Old,,1337.4,,0,0,0,0,0,0,16
independent,house,sector 4,0.5,9259.0,540.0,Plot area 540(50.17 sq.m.),5,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,0,0
smartworld one dxp,flat,sector 113,2.0,11074.0,1806.0,Built Up area: 1806 (167.78 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,12.0,North,Undefined,,1806.0,1350.0,0,0,0,0,0,0,70
avl 36 gurgaon,flat,sector 36a,0.75,7500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),2,2,2,5.0,North-East,Relatively New,1000.0,,727.0,0,0,0,0,0,0,26
independent,house,sector 43,27.5,24366.0,11286.0,Plot area 1254(1048.5 sq.m.),6,7,3+,3.0,North-East,Relatively New,,11286.0,,1,1,0,0,1,1,42
hero homes,house,sector 104,1.95,21195.0,920.0,Plot area 920(85.47 sq.m.),3,5,3+,2.0,,Moderately Old,,920.0,,0,0,0,0,0,0,64
prasha apartments,flat,manesar,0.75,3309.0,2267.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,2115.0,,,0,1,0,0,0,0,31
emaar palm gardens,flat,sector 83,1.75,9210.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3+,11.0,East,Relatively New,1900.0,,1240.04,0,1,0,0,0,0,120
supertech araville,flat,sector 79,0.83,5424.0,1530.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,5.0,North-East,New Property,,,1530.0,1,0,0,0,0,2,49
smart world orchard,flat,sector 61,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1.0,,Under Construction,,,1200.0,1,0,0,0,0,0,16
independent,house,sector 17,3.0,11111.0,2700.0,Carpet area: 2700 (250.84 sq.m.),4,4,0,1.0,,Undefined,,,2700.0,0,0,0,0,0,0,0
vipul lavanya,flat,sector 81,0.65,5265.0,1235.0,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),2,2,2,14.0,,Moderately Old,1225.0,,776.0,0,0,0,0,0,0,96
earth copia,flat,sector 112,0.7,4673.0,1498.0,Built Up area: 1498 (139.17 sq.m.),2,2,2,4.0,East,Relatively New,,1498.0,,0,0,0,0,0,0,65
emaar gurgaon greens,flat,sector 102,1.3,7878.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,4.0,East,Relatively New,1650.0,,1022.58,0,1,0,0,0,1,125
valley view estate,flat,gwal pahari,1.5,8278.0,1812.0,Carpet area: 1812 (168.34 sq.m.),4,4,3+,9.0,North,Old Property,,,1812.0,1,1,0,0,1,0,135
gls avenue 51,flat,sector 92,0.42,6562.0,640.0,Carpet area: 640 (59.46 sq.m.),3,3,1,2.0,,Relatively New,,,640.0,0,0,0,0,0,0,20
dlf city plots,house,sector 26,18.0,39841.0,4518.0,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,0,1,0,0,1,1,49
breez global heights,flat,sohna road road,0.4,6694.0,598.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,7.0,,Relatively New,950.0,,597.53,0,0,0,0,0,0,57
dlf city plots,house,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,0,0,1,87
shree vardhman flora,flat,sector 90,0.65,4814.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,3.0,North,Relatively New,1350.0,,,1,0,0,0,0,0,106
independent,house,sector 43,5.3,27390.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,East,Moderately Old,,1935.0,,0,1,0,0,0,1,71
bestech park view residency,flat,sector 2,1.51,7869.0,1919.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,7.0,South-West,Moderately Old,1920.0,,,0,1,0,0,0,1,84
ambience creacions,flat,sector 22,3.99,12912.0,3090.0,Super Built up area 3090(287.07 sq.m.),3,5,3+,3.0,,New Property,3090.0,,,0,1,0,0,0,2,102
central park flower valley,flat,sector 33 road,2.5,13270.0,1884.0,Carpet area: 1884 (175.03 sq.m.),3,3,2,1.0,,Undefined,,,1884.0,0,0,0,0,0,0,66
smart world one,flat,dwarka expressway,1.65,5933.0,2781.0,Carpet area: 2785 (258.73 sq.m.),3,4,3,6.0,,Under Construction,,,2785.0,0,0,0,0,0,0,0
emaar mgf emerald floors premier,flat,sector 65,2.36,14303.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,North-East,Relatively New,1650.0,,1400.0,1,1,0,0,0,1,136
ss the leaf,flat,sector 85,2.2,11178.0,1968.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4,5,3+,4.0,West,Relatively New,2812.0,2390.0,1968.0,0,1,0,0,0,0,174
signature global park,flat,sohna road road,0.78,6446.0,1210.0,Carpet area: 1210 (112.41 sq.m.),3,3,3,3.0,South-West,Relatively New,,,1210.0,0,0,0,0,0,0,150
smart world orchard,flat,sector 61,2.2,13496.0,1630.0,Carpet area: 1630 (151.43 sq.m.),3,3,2,3.0,,Under Construction,,,1630.0,0,0,0,0,0,0,16
paras dews,flat,sector 106,1.5,6369.0,2355.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Relatively New,2355.0,1535.0,1403.0,0,1,0,0,0,0,174
