society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
paras dews,flat,sector 106,1.2,11605.0,3,3,3,12.0,Relatively New,1145.0,1,0,0,0,0,0,158,"28.5007° N, 77.0003° E",28.5007,77.0003
umang winter hills,flat,sector 77,0.86,6408.0,2,2,2,16.0,New Property,1186.32404465,0,0,0,0,0,1,79,"28.3801° N, 76.9845° E",28.3801,76.9845
dlf the ultima,flat,sector 81,2.21,10365.0,3,3,3+,3.0,Relatively New,1866.28307513,0,1,0,0,0,2,149,"28.3867° N, 76.9485° E",28.3867,76.9485
tulip leaf,flat,sector 69,2.06,11386.0,3,3,3,16.0,Relatively New,1607.37346945,0,0,0,0,0,0,49,"28.3966° N, 77.0341° E",28.3966,77.0341
sare crescent parc,flat,sector 92,0.95,5013.0,4,5,3+,13.0,Relatively New,1895.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
godrej oasis,flat,sector 88a,1.4,7567.0,3,3,3+,4.0,Relatively New,1641.41576337,0,0,0,0,0,1,38,"28.4347° N, 76.9557° E",28.4347,76.9557
microtek greenburg,flat,sector 86,1.93,8446.0,3,4,3,12.0,Relatively New,2031.11044377,0,1,0,0,0,0,72,"28.3986° N, 76.9384° E",28.3986,76.9384
emaar imperial gardens,flat,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively New,2189.09579251,0,1,0,0,0,1,72,"28.4750° N, 76.9715° E",28.475,76.9715
ansal api spanish court,house,sector 2,2.9,18626.0,4,4,3,2.0,Relatively New,1557.0,0,0,1,0,0,1,49,"28.5095° N, 77.0320° E",28.5095,77.032
indiabulls enigma,flat,sector 110,3.25,9558.0,4,4,3,11.0,Relatively New,3029.98301537,0,1,0,0,1,0,125,"28.5145° N, 77.0197° E",28.5145,77.0197
sare crescent parc,flat,sector 92,0.8,4210.0,4,3,2,10.0,Relatively New,1686.2082553700002,0,0,0,0,1,0,37,"28.4079° N, 76.9153° E",28.4079,76.9153
bestech altura,flat,sector 79,1.72,8000.0,3,4,3+,5.0,Relatively New,1699.0581934400002,0,1,0,0,0,0,174,"28.3624° N, 76.9787° E",28.3624,76.9787
supertech hues,flat,sector 68,0.82,6950.0,2,2,3+,21.0,Under Construction,1041.19637057,0,0,0,0,1,0,72,"28.3853° N, 77.0484° E",28.3853,77.0484
independent,house,sector 25,6.5,36111.0,4,3,3,3.0,Moderately Old,1800.0,1,0,0,0,0,0,19,"28.4844° N, 77.0860° E",28.4844,77.086
lavanya apartments,flat,sector 81,0.9,5056.0,3,3,0,7.0,Relatively New,1780.0,0,0,0,0,0,0,0,"28.3867° N, 76.9485° E",28.3867,76.9485
shree vardhman flora,flat,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,1731.00074737,0,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
unitech espace,house,sector 50,11.29,34846.0,5,5,3+,2.0,Moderately Old,3240.0,1,0,0,0,0,0,21,"28.4178° N, 77.0628° E",28.4178,77.0628
godrej,flat,sector 79,1.47,16256.0,2,2,3,9.0,New Property,269.95776346030004,1,0,0,0,0,0,99,"28.3624° N, 76.9787° E",28.3624,76.9787
unitech espace,house,sector 50,7.45,34491.0,4,4,3,3.0,Old Property,4500.0,0,1,0,0,0,1,59,"28.4178° N, 77.0628° E",28.4178,77.0628
gls avenue 51,flat,sector 92,0.45,7614.0,2,2,1,10.0,New Property,646.0,1,0,0,0,0,1,20,"28.4079° N, 76.9153° E",28.4079,76.9153
independent,house,sector 2,6.0,20000.0,4,4,1,2.0,Relatively New,3000.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
vipul world,flat,sector 48,1.38,9482.0,3,3,1,2.0,Relatively New,1638.19212601,0,0,0,0,0,0,60,"28.4177° N, 77.0359° E",28.4177,77.0359
signature global grand iva,flat,sector 103,0.23,6527.0,1,1,1,4.0,Relatively New,546.40122331,0,0,0,0,0,0,23,"28.4949° N, 76.9845° E",28.4949,76.9845
dlf new town heights,flat,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2726.0,0,1,0,0,0,0,145,"28.4085° N, 76.9369° E",28.4085,76.9369
bestech park view residency,flat,sector 2,1.51,7890.0,3,4,3+,8.0,Moderately Old,1704.12525217,0,1,0,0,0,0,92,"28.5095° N, 77.0320° E",28.5095,77.032
project mianwali colony,house,sector 12,1.7,9444.0,1,1,2,1.0,Old Property,1988.76718651,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
the close north,flat,sector 50,2.35,11358.0,3,3,3,8.0,Moderately Old,1900.0,0,0,0,0,0,1,49,"28.4178° N, 77.0628° E",28.4178,77.0628
supertech araville,flat,sector 79,0.71,6061.0,2,2,3+,17.0,New Property,1291.04131109,0,0,0,0,1,0,53,"28.3624° N, 76.9787° E",28.3624,76.9787
la vida by tata housing,flat,sector 113,2.35,10599.0,3,3,3,11.0,New Property,2210.0,0,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
sare green parc phase 3,flat,sector 92,0.75,7142.0,3,2,2,3.0,New Property,1298.0,0,0,0,0,0,0,121,"28.4079° N, 76.9153° E",28.4079,76.9153
sare homes,flat,sector 92,0.95,4250.0,4,3,2,16.0,New Property,1983.0,0,0,0,0,0,0,95,"28.4079° N, 76.9153° E",28.4079,76.9153
assotech blith,flat,sector 99,1.6,6667.0,3,4,0,15.0,New Property,2400.0,0,0,0,0,0,0,51,"28.4640° N, 76.9614° E",28.464,76.9614
independent,house,sector 9,0.6,10753.0,2,2,1,1.0,Moderately Old,558.0,0,0,0,0,0,0,8,"28.4603° N, 77.0000° E",28.4603,77.0
godrej aria,flat,sector 79,0.95,6551.0,2,2,3,5.0,Relatively New,1638.19212601,0,0,0,0,0,1,174,"28.3624° N, 76.9787° E",28.3624,76.9787
tulip violet,flat,sector 69,1.4,8928.0,3,3,1,12.0,Relatively New,1388.78610849,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
ss the leaf,flat,sector 85,1.12,6453.0,2,2,3,10.0,Relatively New,1485.0,0,0,0,0,1,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf regal gardens,flat,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,0,0,0,126,"28.4085° N, 76.9369° E",28.4085,76.9369
afnhb jalvayu vihar,flat,sector 30,0.85,12859.0,2,2,1,2.0,Old Property,847.8957753400001,0,0,0,0,1,1,49,"28.4604° N, 77.0579° E",28.4604,77.0579
signature andour heights,flat,sector 71,0.37,7400.0,1,1,2,2.0,Relatively New,425.0,0,0,0,0,0,1,37,"28.4104° N, 77.0281° E",28.4104,77.0281
birla navya,house,sector 63a,3.85,15437.0,3,3,3+,4.0,New Property,2683.9074493300004,0,1,0,0,0,1,160,"28.3923° N, 77.0888° E",28.3923,77.0888
dlf new town heights,flat,sector 91,2.0,6967.0,4,4,3+,16.0,Moderately Old,2427.07607305,1,1,0,0,0,0,65,"28.4014° N, 76.9225° E",28.4014,76.9225
smart world gems,flat,sector 89,0.88,7978.0,2,2,0,2.0,New Property,1103.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
birla navya,flat,sector 63a,3.7,15416.0,3,3,3+,1.0,Under Construction,2589.75300451,0,0,0,0,0,0,72,"28.3923° N, 77.0888° E",28.3923,77.0888
gls avenue 51,flat,sector 92,0.42,7106.0,2,2,1,4.0,Relatively New,777.78076324,1,0,0,0,0,1,42,"28.4079° N, 76.9153° E",28.4079,76.9153
smart world gems,flat,sector 89,0.97,8794.0,2,2,3+,2.0,New Property,1103.0,0,0,0,0,0,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
independent,house,sector 25,4.45,32963.0,4,3,3+,2.0,Moderately Old,1350.0,0,0,1,0,0,0,79,"28.4844° N, 77.0860° E",28.4844,77.086
bestech park view ananda,flat,sector 81,1.35,7541.0,3,3,3+,10.0,Moderately Old,1452.66556469,0,0,1,0,0,1,72,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,house,manesar,2.0,14954.0,3,1,0,3.0,Moderately Old,1337.4,0,0,0,0,0,0,16,"28.3515° N, 76.9428° E",28.3515,76.9428
independent,house,sector 4,0.5,9259.0,5,3,2,3.0,Old Property,540.0,0,0,0,0,0,0,0,"28.4738° N, 77.0107° E",28.4738,77.0107
smartworld one dxp,flat,sector 113,2.0,11074.0,3,3,3,12.0,New Property,1806.0,0,0,0,0,0,0,70,"28.5287° N, 77.0233° E",28.5287,77.0233
independent,house,sector 43,27.5,24366.0,6,7,3+,3.0,Relatively New,11286.0,1,1,0,0,1,1,42,"28.4629° N, 77.0772° E",28.4629,77.0772
hero homes,house,sector 104,1.95,21195.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,0,0,0,64,"28.4788° N, 76.9960° E",28.4788,76.996
prasha apartments,flat,manesar,0.75,3309.0,3,3,3+,3.0,Moderately Old,1878.81597097,0,1,0,0,0,0,31,"28.3515° N, 76.9428° E",28.3515,76.9428
emaar palm gardens,flat,sector 83,1.75,9210.0,3,3,3+,11.0,Relatively New,1557.0477054006,0,1,0,0,0,0,120,"28.3986° N, 76.9647° E",28.3986,76.9647
supertech araville,flat,sector 79,0.83,5424.0,2,2,3,5.0,New Property,1718.3235684100002,1,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
smart world orchard,flat,sector 61,1.65,13750.0,2,2,2,1.0,Under Construction,1387.7813685100002,1,0,0,0,0,0,16,"28.4050° N, 77.0963° E",28.405,77.0963
independent,house,sector 17,3.0,11111.0,4,4,0,1.0,Moderately Old,2890.2459135100007,0,0,0,0,0,0,0,"28.4791° N, 77.0608° E",28.4791,77.0608
